        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
97 2OBF_16_tyr                              -5.866    -5.912     0.046     0.771
98 2OBF_17_arg                              40.162    41.108    -0.946    -2.301
99 2OBF_18_leu                              -0.498    -0.537     0.039     7.245
100 2OBF_19_val                             -2.730    -2.422    -0.308   -12.735
101 2OBF_20_ala                             -1.152    -0.973    -0.179   -18.433
102 2OBF_21_leu                             -1.625    -1.240    -0.385   -31.020
103 2OBF_22_tyr                             -4.222    -3.891    -0.331    -8.510
104 2OBF_23_tyr                             -3.208    -2.925    -0.283    -9.688
105 2OBF_24_phe                             -8.385    -9.337     0.952    10.193
106 2OBF_25_ala                             -0.704    -0.605    -0.099   -16.340
107 2OBF_26_ala                             -1.259    -1.585     0.326    20.553
108 2OBF_27_glu                           -128.505  -135.109     6.604     4.888
109 2OBF_28_tyr                             -6.602    -8.661     2.059    23.774
110 2OBF_29_val                             -0.691    -0.943     0.252    26.758
111 2OBF_30_met                             -0.390    -0.341    -0.049   -14.266
112 2OBF_31_asp                            -78.904   -82.912     4.008     4.834
113 2OBF_32_val                             -2.354    -1.915    -0.439   -22.907
114 2OBF_33_val                             -1.117    -1.506     0.389    25.857
115 2P4Y_01_bbn                              0.802     0.633     0.169    26.685
116 2P4Y_02_bbn                             -3.062    -3.158     0.096     3.027
117 2P4Y_03_bbn                             -1.012    -1.621     0.609    37.599
118 2P4Y_04_bbn                             -0.018    -0.504     0.486    96.345
119 2P4Y_05_bbn                             -3.232    -3.285     0.053     1.615
120 2P4Y_06_bbn                             -1.454    -1.259    -0.195   -15.466
121 2P4Y_07_bbn                             -2.781    -1.965    -0.816   -41.510
122 2P4Y_08_bbn                             -2.250    -1.945    -0.305   -15.684
123 2P4Y_09_bbn                             -0.548    -0.814     0.266    32.626
124 2P4Y_10_bbn                             -0.785    -1.060     0.275    25.989
125 2P4Y_11_bbn                             -1.504    -1.549     0.045     2.921
126 2P4Y_12_bbn                             -1.295    -1.648     0.353    21.422
127 2P4Y_13_bbn                              0.657     0.388     0.269    69.209
128 2P4Y_14_bbn                             -8.341    -7.223    -1.118   -15.485
129 2P4Y_15_bbn                            -20.007   -22.002     1.995     9.069
130 2P4Y_16_bbn                             -7.029    -6.373    -0.656   -10.301
131 2P4Y_17_phe                             -0.863    -0.118    -0.745  -631.590
132 2P4Y_18_ile                             -0.948    -0.958     0.010     1.010
133 2P4Y_19_cys                             -5.432    -5.376    -0.056    -1.047
134 2P4Y_20_phe                             -1.173    -1.502     0.329    21.922
135 2P4Y_21_arg                            -68.825   -70.559     1.734     2.458
136 2P4Y_22_ser                             -2.977    -1.952    -1.025   -52.517
137 2P4Y_23_ala                             -2.090    -2.010    -0.080    -3.970
138 2P4Y_24_glu                             20.883    19.435     1.448     7.453
139 2P4Y_25_ile                             -1.097    -1.935     0.838    43.299
140 2P4Y_26_ile                             -2.631    -2.787     0.156     5.608
141 2P4Y_27_tyr                             -0.795    -1.841     1.046    56.809
142 2P4Y_28_met                             -2.826    -2.641    -0.185    -6.999
143 2P4Y_29_leu                             -4.162    -4.607     0.445     9.660
144 2P4Y_30_leu                             -2.360    -2.673     0.313    11.723
145 2P4Y_31_val                             -2.320    -1.593    -0.727   -45.641
146 2P4Y_32_ile                             -5.638    -7.524     1.886    25.068
147 2P4Y_33_ser                             -4.480    -3.787    -0.693   -18.301
148 2P4Y_34_met                             -1.791    -2.077     0.286    13.772
149 2P4Y_35_leu                             -1.534    -1.370    -0.164   -11.994
150 2P4Y_36_phe                             -1.175    -1.510     0.335    22.203
151 2P4Y_37_met                             -2.570    -3.066     0.496    16.161
152 2P4Y_38_lys                            -27.156   -28.948     1.792     6.190
153 2P4Y_39_hie                             -0.758    -1.154     0.396    34.318
154 2VOT_01_bbn                              2.616     2.471     0.145     5.861
155 2VOT_02_bbn                              1.112     0.834     0.278    33.380
156 2VOT_03_bbn                              2.145     1.814     0.331    18.247
157 2VOT_04_trp                             -3.218    -1.855    -1.363   -73.455
158 2VOT_05_asp                           -103.153  -108.715     5.562     5.117
159 2VOT_06_trp                             -1.900    -0.130    -1.770 -1361.738
160 2VOT_07_arg                             40.750    41.149    -0.399    -0.970
161 2VOT_08_trp                             -2.884    -1.687    -1.197   -70.934
162 2VOT_09_cys                             -1.610    -1.784     0.174     9.777
163 2VOT_10_asn                             -6.843    -3.554    -3.289   -92.551
164 2VOT_11_glu                           -105.694  -109.350     3.656     3.343
165 2VOT_12_glu                            -44.512   -45.354     0.842     1.856
166 2VOT_13_trp                             -1.014    -0.448    -0.566  -126.401
167 2VOT_14_trp                              0.262     0.355    -0.093   -26.138
168 2VOT_15_hip                             52.381    52.496    -0.115    -0.220
169 2VOT_16_trp                             -7.239    -7.689     0.450     5.858
170 2VOT_17_tyr                             -3.689    -4.084     0.395     9.665
171 2VOT_18_glu                           -107.322  -111.797     4.475     4.003
172 2VOT_19_ser                              0.638     0.657    -0.019    -2.923
173 2VOT_20_ser                             -1.335    -1.306    -0.029    -2.217
174 2VOT_21_trp                            -12.844   -14.338     1.494    10.417
175 2VOT_22_trp                             -6.297    -7.156     0.859    12.001
176 2VW5_01_bbn                             -1.388    -1.602     0.214    13.347
177 2VW5_02_bbn                             -2.540    -2.012    -0.528   -26.256
178 2VW5_03_bbn                             -0.084    -0.165     0.081    48.950
179 2VW5_04_bbn                             -0.146    -0.347     0.201    57.855
180 2VW5_05_bbn                             -1.040    -1.513     0.473    31.261
181 2VW5_06_bbn                              0.049     0.010     0.039   394.749
182 2VW5_07_bbn                              0.063    -0.062     0.125   201.750
183 2VW5_08_bbn                              0.031    -0.306     0.337   110.044
184 2VW5_09_bbn                             -2.158    -1.959    -0.199   -10.154
185 2VW5_10_bbn                             -0.722    -0.747     0.025     3.375
186 2VW5_11_bbn                             -4.798    -3.942    -0.856   -21.714
187 2VW5_12_bbn                             -1.257     0.092    -1.349 -1465.790
188 2VW5_13_bbn                             -7.163    -7.609     0.446     5.856
189 2VW5_14_bbn                             -2.807    -2.653    -0.154    -5.800
190 2VW5_15_bbn                              0.201     0.119     0.082    68.855
191 2VW5_16_asn                             -5.282    -6.153     0.871    14.154
192 2VW5_17_ala                             -0.385    -0.437     0.052    11.814
193 2VW5_18_asp                            -22.363   -27.702     5.339    19.273
194 2VW5_19_ala                             -1.897    -1.574    -0.323   -20.518
195 2VW5_20_lys                            -15.286   -16.841     1.555     9.235
196 2VW5_21_asp                            -18.954   -20.676     1.722     8.328
197 2VW5_22_ile                             -1.130    -0.966    -0.164   -16.999
198 2VW5_23_met                             -5.187    -5.847     0.660    11.295
199 2VW5_24_glu                             -6.589    -6.855     0.266     3.877
200 2VW5_25_asn                             -1.582    -1.838     0.256    13.947
201 2VW5_26_leu                             -1.549    -1.397    -0.152   -10.849
202 2VW5_28_val                             -0.639    -0.688     0.049     7.186
203 2VW5_29_phe                             -4.728    -3.685    -1.043   -28.306
204 2VW5_30_tyr                             -1.296    -1.319     0.023     1.755
205 2VW5_31_val                             -0.439    -0.469     0.030     6.389
206 2VW5_32_thr                             -5.096    -4.575    -0.521   -11.386
207 2VW5_33_leu                             -0.842    -0.905     0.063     6.954
208 2XB8_01_bbn                              3.646     2.947     0.699    23.714
209 2XB8_02_bbn                             -3.353    -3.648     0.295     8.099
210 2XB8_03_bbn                             -2.209    -2.281     0.072     3.177
211 2XB8_04_bbn                             -2.810    -3.228     0.418    12.942
212 2XB8_05_bbn                             -1.712    -1.707    -0.005    -0.283
213 2XB8_06_bbn                              2.488     1.795     0.693    38.589
214 2XB8_07_bbn                              1.066     0.743     0.323    43.482
215 2XB8_08_bbn                             -8.924    -8.427    -0.497    -5.897
216 2XB8_09_bbn                             -5.534    -4.519    -1.015   -22.459
217 2XB8_10_bbn                             -2.263    -1.881    -0.382   -20.296
218 2XB8_11_bbn                             -3.716    -3.191    -0.525   -16.438
219 2XB8_12_bbn                            -17.803   -18.509     0.706     3.817
220 2XB8_13_bbn                            -17.122   -18.726     1.604     8.564
221 2XB8_14_bbn                              3.029     3.105    -0.076    -2.450
222 2XB8_15_bbn                             -1.083    -1.108     0.025     2.212
223 2XB8_16_asn                              0.868     0.457     0.411    89.849
224 2XB8_17_leu                             -3.526    -4.157     0.631    15.170
225 2XB8_18_arg                            -22.878   -24.340     1.462     6.008
226 2XB8_19_leu                             -0.673    -0.451    -0.222   -49.145
227 2XB8_20_arg                            -19.162   -19.929     0.767     3.849
228 2XB8_21_tyr                             -7.474    -7.905     0.431     5.446
229 2XB8_22_asn                            -10.113    -9.067    -1.046   -11.532
230 2XB8_23_thr                             -0.686    -1.159     0.473    40.838
231 2XB8_24_hid                             -1.990    -4.787     2.797    58.437
232 2XB8_25_hie                              2.023     3.033    -1.010   -33.298
233 2XB8_26_ile                             -2.523    -3.670     1.147    31.260
234 2XB8_27_ser                            -10.262   -13.012     2.750    21.135
235 2XB8_28_val                             -1.714    -1.439    -0.275   -19.087
236 2XB8_29_arg                            -49.133   -51.470     2.337     4.540
237 2XB8_30_arg                            -53.647   -58.856     5.209     8.850
238 2XB8_31_val                             -0.697    -0.697     0.000     0.063
239 2XB8_32_asp                             28.916    28.727     0.189     0.657
240 2XB8_33_glu                             20.998    22.273    -1.275    -5.722
241 2YKI_01_bbn                              0.325     0.150     0.175   116.592
242 2YKI_02_bbn                             -0.270    -0.223    -0.047   -21.124
243 2YKI_03_bbn                             -0.829    -0.885     0.056     6.313
244 2YKI_04_bbn                             -0.395    -0.501     0.106    21.177
245 2YKI_05_bbn                             -0.998    -1.095     0.097     8.884
246 2YKI_06_bbn                             -0.690    -0.852     0.162    19.047
247 2YKI_07_bbn                             -0.700    -1.001     0.301    30.088
248 2YKI_08_bbn                             -9.646   -10.123     0.477     4.715
249 2YKI_09_bbn                              0.466    -0.006     0.472  7860.616
250 2YKI_10_bbn                             -0.584    -1.105     0.521    47.187
251 2YKI_11_bbn                             -4.089    -4.313     0.224     5.195
252 2YKI_12_bbn                             -0.868    -1.057     0.189    17.912
253 2YKI_13_bbn                             -0.185    -0.391     0.206    52.749
254 2YKI_14_bbn                             -1.631    -1.846     0.215    11.630
255 2YKI_15_bbn                             -0.194    -0.336     0.142    42.357
256 2YKI_16_bbn                             -0.243    -0.240    -0.003    -1.375
257 2YKI_17_bbn                             -3.215    -2.670    -0.545   -20.411
258 2YKI_18_bbn                             -1.650    -1.851     0.201    10.835
259 2YKI_19_bbn                              0.192     0.096     0.096    99.525
260 2YKI_20_bbn                              0.198     0.160     0.038    23.606
261 2YKI_21_bbn                              0.034    -0.036     0.070   194.335
262 2YKI_22_phe                             -2.072    -2.016    -0.056    -2.775
263 2YKI_23_gln                             -0.656    -0.677     0.021     3.050
264 2YKI_24_ile                             -1.096    -1.114     0.018     1.614
265 2YKI_25_leu                             -0.400    -0.415     0.015     3.584
266 2YKI_26_asn                             -8.496    -7.324    -1.172   -16.005
267 2YKI_27_ser                             -1.042     0.118    -1.160  -983.309
268 2YKI_28_ala                             -0.808    -0.284    -0.524  -184.496
269 2YKI_29_asp                            -22.940   -25.837     2.897    11.212
270 2YKI_30_ile                             -0.315    -0.373     0.058    15.499
271 2YKI_31_met                             -6.071    -7.012     0.941    13.415
272 2YKI_32_leu                             -1.683    -1.697     0.014     0.812
273 2YKI_33_ile                             -0.273    -0.356     0.083    23.337
274 2YKI_34_leu                             -6.129    -5.688    -0.441    -7.758
275 2YKI_35_ile                             -1.062    -1.195     0.133    11.107
276 2YKI_36_ala                             -1.626    -1.598    -0.028    -1.760
277 2YKI_37_val                             -0.659    -0.790     0.131    16.607
278 2YKI_38_phe                             -7.758    -8.399     0.641     7.627
279 2YKI_40_val                             -1.850    -1.733    -0.117    -6.754
280 2YKI_41_trp                             -4.510    -6.213     1.703    27.416
281 2YKI_42_phe                             -2.377    -2.736     0.359    13.112
282 2YKI_43_thr                             -5.844    -3.713    -2.131   -57.392
283 2YKI_44_val                             -1.104    -0.972    -0.132   -13.531
284 2ZX6_01_bbn                              3.585     2.718     0.867    31.906
285 2ZX6_02_bbn                              0.144    -0.331     0.475   143.478
286 2ZX6_03_bbn                             -0.061    -0.366     0.305    83.231
287 2ZX6_04_bbn                              1.827     1.694     0.133     7.838
288 2ZX6_05_phe                             -2.281    -2.454     0.173     7.061
289 2ZX6_06_hid                            -16.643   -21.607     4.964    22.976
290 2ZX6_07_leu                             -1.132    -1.413     0.281    19.877
291 2ZX6_08_tyr                             -2.372    -3.321     0.949    28.589
292 2ZX6_09_glu                            -75.027   -80.174     5.147     6.419
293 2ZX6_10_trp                             -2.231    -1.055    -1.176  -111.510
294 2ZX6_11_hie                             -3.047    -1.054    -1.993  -189.067
295 2ZX6_12_hid                            -14.715   -18.071     3.356    18.570
296 2ZX6_13_tyr                             -0.757    -0.065    -0.692 -1064.289
297 2ZX6_14_leu                             -0.242    -0.230    -0.012    -5.162
298 2ZX6_15_trp                             -3.236    -3.758     0.522    13.884
299 2ZX6_16_asp                           -104.729  -110.036     5.307     4.823
300 2ZX6_17_met                             -4.117    -4.204     0.087     2.081
301 2ZX6_18_arg                             56.597    55.564     1.033     1.860
302 2ZX6_19_glu                           -108.056  -111.740     3.684     3.297
303 2ZX6_20_val                             -1.219    -1.102    -0.117   -10.618
304 2ZX6_21_asn                             -6.147    -5.871    -0.276    -4.708
305 2ZX6_22_thr                             -2.523    -2.562     0.039     1.524
306 2ZX6_23_phe                             -7.338    -8.275     0.937    11.327
307 3G0W_01_bbn                              0.114    -0.280     0.394   140.737
308 3G0W_02_bbn                             -2.545    -3.220     0.675    20.948
309 3G0W_03_bbn                              0.347     0.001     0.346 34552.050
310 3G0W_04_bbn                              0.203    -0.022     0.225  1023.373
311 3G0W_05_bbn                             -0.445    -0.757     0.312    41.216
312 3G0W_06_bbn                              0.419     0.348     0.071    20.265
313 3G0W_07_bbn                             -0.775    -0.797     0.022     2.811
314 3G0W_08_bbn                             -0.541    -0.335    -0.206   -61.504
315 3G0W_09_bbn                             -0.856    -1.026     0.170    16.531
316 3G0W_10_bbn                              0.079     1.077    -0.998   -92.626
317 3G0W_11_bbn                              2.263     2.491    -0.228    -9.154
318 3G0W_12_bbn                             -0.452    -0.473     0.021     4.439
319 3G0W_13_bbn                             -1.488    -1.851     0.363    19.626
320 3G0W_14_bbn                             -0.984    -0.879    -0.105   -11.938
321 3G0W_15_bbn                             -0.113    -0.077    -0.036   -46.564
322 3G0W_16_leu                             -1.563    -1.582     0.019     1.228
323 3G0W_17_leu                             -3.537    -4.177     0.640    15.331
324 3G0W_18_asn                            -15.908   -15.230    -0.678    -4.449
325 3G0W_19_leu                             -2.426    -2.527     0.101     3.979
326 3G0W_20_gln                              0.825     0.770     0.055     7.128
327 3G0W_21_trp                             -0.799    -1.224     0.425    34.759
328 3G0W_22_met                             -2.239    -2.943     0.704    23.905
329 3G0W_23_met                             -4.901    -6.038     1.137    18.838
330 3G0W_24_val                             -1.057    -2.021     0.964    47.715
331 3G0W_25_met                             -3.028    -2.591    -0.437   -16.861
332 3G0W_26_arg                            -15.929   -18.754     2.825    15.062
333 3G0W_27_phe                             -3.632    -3.633     0.001     0.028
334 3G0W_28_met                             -1.675    -2.138     0.463    21.678
335 3G0W_29_met                             -0.844    -0.973     0.129    13.242
336 3G0W_30_leu                             -1.921    -1.954     0.033     1.673
337 3G0W_31_phe                             -0.732    -0.746     0.014     1.817
338 3G0W_32_thr                             -4.247    -4.362     0.115     2.632
339 3G0W_33_leu                             -1.035    -0.959    -0.076    -7.966
340 3G0W_34_phe                             -1.942    -2.385     0.443    18.578
341 3G0W_35_met                             -0.415    -0.625     0.210    33.552
342 3G0W_36_ile                             -0.108    -0.474     0.366    77.226
343 3GCU_01_bbn                             -0.158    -0.282     0.124    44.028
344 3GCU_02_bbn                             -3.386    -3.124    -0.262    -8.374
345 3GCU_03_bbn                             -1.142    -1.441     0.299    20.750
346 3GCU_04_bbn                             -0.750    -1.028     0.278    26.994
347 3GCU_05_bbn                             -0.350    -0.689     0.339    49.235
348 3GCU_06_bbn                             -0.216    -0.328     0.112    34.229
349 3GCU_07_bbn                             -2.103    -1.867    -0.236   -12.662
350 3GCU_08_bbn                              0.145    -0.029     0.174   600.186
351 3GCU_09_bbn                             -1.177    -1.389     0.212    15.237
352 3GCU_10_bbn                             -0.143    -0.503     0.360    71.539
353 3GCU_11_bbn                             -1.277    -1.166    -0.111    -9.540
354 3GCU_12_bbn                             -0.048    -0.152     0.104    68.728
355 3GCU_13_bbn                             -1.128    -1.220     0.092     7.515
356 3GCU_14_bbn                             -1.131    -1.261     0.130    10.337
357 3GCU_15_bbn                             -0.687    -0.618    -0.069   -11.127
358 3GCU_16_bbn                             -3.355    -2.654    -0.701   -26.427
359 3GCU_17_bbn                             -6.971    -8.222     1.251    15.217
360 3GCU_18_bbn                             -1.924    -2.033     0.109     5.386
361 3GCU_19_bbn                             -0.314    -0.332     0.018     5.275
362 3GCU_20_bbn                             -0.211    -0.237     0.026    11.070
363 3GCU_21_bbn                             -1.821    -1.341    -0.480   -35.820
364 3GCU_22_bbn                             -8.849    -8.470    -0.379    -4.480
365 3GCU_23_bbn                             -3.026    -3.359     0.333     9.906
366 3GCU_24_val                             -1.720    -1.617    -0.103    -6.353
367 3GCU_25_tyr                             -0.202    -0.332     0.130    39.086
368 3GCU_26_val                             -2.766    -2.777     0.011     0.401
369 3GCU_27_ala                             -2.426    -1.853    -0.573   -30.934
370 3GCU_28_lys                              0.350    -1.564     1.914   122.380
371 3GCU_29_arg                              2.273     1.022     1.251   122.449
372 3GCU_30_arg                              0.968    -0.302     1.270   420.368
373 3GCU_31_glu                            -36.144   -40.107     3.963     9.880
374 3GCU_32_leu                             -1.077    -1.619     0.542    33.472
375 3GCU_33_leu                             -3.731    -3.539    -0.192    -5.416
376 3GCU_34_met                             -1.193    -1.363     0.170    12.465
377 3GCU_35_val                             -0.924    -0.854    -0.070    -8.213
378 3GCU_36_ile                             -2.620    -3.419     0.799    23.363
379 3GCU_37_leu                             -1.591    -1.666     0.075     4.527
380 3GCU_38_thr                             -6.782    -6.012    -0.770   -12.800
381 3GCU_39_leu                             -1.514    -1.675     0.161     9.619
382 3GCU_40_met                             -1.291    -1.631     0.340    20.846
383 3GCU_41_ile                             -1.346    -1.316    -0.030    -2.265
384 3GCU_42_ile                             -0.570    -0.576     0.006     1.039
385 3GCU_43_hie                             -2.411    -2.070    -0.341   -16.450
386 3GCU_44_ile                             -0.579    -0.486    -0.093   -19.129
387 3GCU_45_leu                             -3.529    -3.753     0.224     5.982
388 3GCU_46_asp                             -1.905    -3.510     1.605    45.725
389 3GCU_47_phe                             -3.280    -3.750     0.470    12.524
390 3GCU_48_leu                             -0.581    -0.619     0.038     6.198
391 3GNW_01_pro                             -1.501    -1.763     0.262    14.842
392 3GNW_02_bbn                             -0.207    -1.277     1.070    83.805
393 3GNW_03_bbn                             -3.377    -3.254    -0.123    -3.787
394 3GNW_04_bbn                             -3.558    -2.857    -0.701   -24.553
395 3GNW_05_bbn                             -0.109    -0.513     0.404    78.824
396 3GNW_06_bbn                              0.002    -0.230     0.232   100.954
397 3GNW_07_bbn                             -1.800    -1.752    -0.048    -2.743
398 3GNW_08_bbn                             -0.148    -0.221     0.073    33.156
399 3GNW_09_bbn                             -0.542    -1.049     0.507    48.330
400 3GNW_10_bbn                             -0.736    -0.798     0.062     7.775
401 3GNW_11_bbn                             -2.158    -2.458     0.300    12.198
402 3GNW_12_bbn                             -0.890    -0.729    -0.161   -22.114
403 3GNW_13_bbn                             -8.738    -7.914    -0.824   -10.413
404 3GNW_14_bbn                            -10.079    -7.893    -2.186   -27.689
405 3GNW_15_bbn                            -11.029    -8.705    -2.324   -26.701
406 3GNW_16_bbn                             -2.680    -2.751     0.071     2.573
407 3GNW_17_arg                              0.515    -1.153     1.668   144.636
408 3GNW_18_phe                             -0.066    -1.633     1.567    95.974
409 3GNW_19_arg                             -7.928    -5.693    -2.235   -39.253
410 3GNW_20_asn                             -2.527    -1.994    -0.533   -26.714
411 3GNW_21_asp                             -4.473    -4.875     0.402     8.256
412 3GNW_22_cys                             -3.452    -4.152     0.700    16.853
413 3GNW_23_ser                             -8.067    -8.521     0.454     5.323
414 3GNW_24_ser                             -1.839    -1.549    -0.290   -18.733
415 3GNW_25_leu                             -2.538    -2.381    -0.157    -6.577
416 3GNW_26_arg                              5.894     3.776     2.118    56.084
417 3GNW_27_ser                             -0.450    -0.516     0.066    12.781
418 3GNW_28_asn                             -1.532    -1.264    -0.268   -21.202
419 3GNW_29_met                             -6.266    -6.025    -0.241    -4.008
420 3GNW_30_tyr                             -4.121    -4.562     0.441     9.670
421 3GNW_31_gln                              0.087    -0.305     0.392   128.598
422 3GNW_32_ile                             -0.542    -0.859     0.317    36.926
423 3GNW_33_tyr                             -6.375    -6.613     0.238     3.598
424 3GNW_34_hie                             -0.169    -0.146    -0.023   -15.730
425 3GNW_35_ser                             -6.206    -4.733    -1.473   -31.112
426 3JVS_01_bbn                             -2.352    -1.960    -0.392   -20.023
427 3JVS_02_bbn                            -13.978   -13.696    -0.282    -2.061
428 3JVS_03_bbn                             -1.323    -1.071    -0.252   -23.517
429 3JVS_04_bbn                             -1.275    -0.504    -0.771  -152.977
430 3JVS_05_bbn                            -13.437   -12.381    -1.056    -8.526
431 3JVS_06_pro                             -5.438    -4.961    -0.477    -9.616
432 3JVS_07_bbn                              1.007     0.651     0.356    54.694
433 3JVS_08_pro                             -2.645    -2.382    -0.263   -11.030
434 3JVS_09_bbn                             -0.584    -0.536    -0.048    -8.996
435 3JVS_10_bbn                             -1.394    -1.080    -0.314   -29.095
