WARNING: Interface fairchem is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
004-AR / 2IKG                             -151.689  -135.387   -16.302   -12.041
004-AR / 2IKH                             -137.221  -121.544   -15.678   -12.899
004-AR / 2IKI                             -139.894  -122.467   -17.427   -14.230
004-AR / 2IKJ                             -142.467  -125.206   -17.262   -13.787
004-AR / 4LAU                             -140.692  -123.618   -17.073   -13.811
004-AR / 4LAZ                             -141.075  -129.806   -11.270    -8.682
004-AR / 4LB3                             -142.007  -130.783   -11.224    -8.582
004-AR / 4LB4                             -144.116  -126.052   -18.064   -14.330
004-AR / 4LBR                             -144.092  -133.005   -11.087    -8.336
004-AR / 4LBS                             -143.435  -126.029   -17.407   -13.812
004-AR / 4QXI                             -149.865  -134.458   -15.407   -11.459
004-AR / 4XZH                             -146.358  -127.370   -18.988   -14.908
004-AR / 4XZI                             -134.784  -124.183   -10.601    -8.537
005-Cath-D / 6QBG                         -143.842  -141.732    -2.110    -1.488
005-Cath-D / 6QBH                         -139.308  -134.751    -4.557    -3.382
005-Cath-D / 6QCB                         -142.706  -138.797    -3.909    -2.817
005-Cath-D / model08                      -138.371  -134.845    -3.526    -2.615
005-Cath-D / model22                      -144.359  -139.915    -4.444    -3.176
005-Cath-D / model24                      -137.446  -133.666    -3.781    -2.828
005-Cath-D / model25                      -152.279  -149.974    -2.305    -1.537
005-Cath-D / model31                      -141.127  -136.938    -4.189    -3.059
005-Cath-D / model35                      -140.931  -137.815    -3.117    -2.262
005-Cath-D / model36                      -116.274  -112.987    -3.287    -2.909
006-BACE1 / 5QCO                             3.485   -52.470    55.955   106.642
006-BACE1 / 5QCP                            12.442   -53.010    65.453   123.472
006-BACE1 / 5QCR                          -116.730  -132.453    15.723    11.871
006-BACE1 / 5QCT                          -117.602  -138.476    20.874    15.074
006-BACE1 / 5QCU                          -110.903  -134.121    23.218    17.311
006-BACE1 / 5QCV                            10.589   -43.669    54.258   124.249
006-BACE1 / 5QCX                             9.923   -47.485    57.408   120.897
006-BACE1 / 5QCY                           -13.960   -63.325    49.365    77.955
006-BACE1 / 5QCZ                            16.026   -42.338    58.364   137.852
006-BACE1 / 5QD0                             8.873   -51.837    60.710   117.117
006-BACE1 / 5QD1                            22.836   -45.141    67.977   150.588
006-BACE1 / 5QD2                            19.548   -47.054    66.602   141.543
006-BACE1 / 5QD3                            19.732   -45.228    64.960   143.628
006-BACE1 / 5QD5                            13.845   -48.822    62.667   128.358
006-BACE1 / 5QD9                             2.546   -56.152    58.698   104.534
006-BACE1 / 5QDA                            13.154   -46.774    59.928   128.122
007-JAK1 / 4E4L                            -89.662   -85.629    -4.033    -4.710
007-JAK1 / 4E4N                            -95.339   -90.019    -5.319    -5.909
007-JAK1 / 4E5W                           -118.699  -112.641    -6.058    -5.378
007-JAK1 / 4EHZ                           -146.116  -146.744     0.628     0.428
007-JAK1 / 4EI4                            -84.443   -81.834    -2.609    -3.188
007-JAK1 / 4FK6                           -106.404  -104.602    -1.802    -1.722
007-JAK1 / 4I5C                            -93.105   -88.563    -4.542    -5.129
007-JAK1 / 4IVB                            -90.611   -87.282    -3.329    -3.814
007-JAK1 / 4IVC                           -106.893  -104.103    -2.791    -2.681
007-JAK1 / 4IVD                           -110.967  -107.100    -3.867    -3.610
007-JAK1 / 4K6Z                            -95.179   -92.596    -2.583    -2.790
007-JAK1 / 4K77                            -66.335   -64.250    -2.085    -3.246
008-Trypsin / 1K1I                        -201.387  -199.042    -2.345    -1.178
008-Trypsin / 1K1J                        -199.498  -197.068    -2.431    -1.233
008-Trypsin / 1K1L                        -196.866  -194.468    -2.398    -1.233
008-Trypsin / 1K1M                        -197.522  -194.773    -2.749    -1.411
008-Trypsin / 1K1N                        -140.607  -146.330     5.723     3.911
008-Trypsin / 2ZHD                        -226.606  -223.671    -2.935    -1.312
008-Trypsin / 2ZQ2                        -226.127  -222.638    -3.489    -1.567
008-Trypsin / 3LJJ                        -223.715  -220.327    -3.388    -1.538
008-Trypsin / 3LJO                        -221.579  -218.065    -3.514    -1.611
008-Trypsin / 5MNG                        -146.003  -140.649    -5.354    -3.807
008-Trypsin / 5MO2                        -140.345  -133.110    -7.235    -5.435
008-Trypsin / 6SY3                        -190.167  -188.975    -1.192    -0.631
008-Trypsin / 6T0M                        -225.304  -221.793    -3.511    -1.583
008-Trypsin / 6T0P                        -225.161  -222.309    -2.852    -1.283
008-Trypsin / 6T5W                        -205.606  -203.253    -2.352    -1.157
009-CDK2 / 3QQK                            -87.829   -61.680   -26.149   -42.395
009-CDK2 / 3QTQ                            -98.186   -72.420   -25.766   -35.579
009-CDK2 / 3QTR                            -96.524   -68.080   -28.444   -41.781
009-CDK2 / 3QTS                           -107.150   -74.760   -32.390   -43.325
009-CDK2 / 3QTU                           -165.510  -136.080   -29.430   -21.627
009-CDK2 / 3QTW                           -107.901   -79.690   -28.211   -35.401
009-CDK2 / 3QTX                           -138.476  -110.260   -28.216   -25.590
009-CDK2 / 3QTZ                           -127.436  -101.400   -26.036   -25.677
009-CDK2 / 3QU0                           -134.823  -108.200   -26.623   -24.605
009-CDK2 / 3QXP                           -140.276  -112.610   -27.666   -24.568
009-CDK2 / 3R8U                           -103.374   -69.770   -33.604   -48.164
009-CDK2 / 3R8V                            -96.854   -64.550   -32.304   -50.045
009-CDK2 / 3R8Z                            -81.589   -55.730   -25.859   -46.401
009-CDK2 / 3R9D                           -143.803  -112.600   -31.203   -27.711
009-CDK2 / 3R9N                           -102.974   -68.240   -34.734   -50.899
009-CDK2 / 3RAH                           -111.366   -74.470   -36.896   -49.545
009-CDK2 / 3RAK                           -123.449   -97.000   -26.449   -27.267
009-CDK2 / 3RAL                           -136.099  -105.740   -30.359   -28.711
009-CDK2 / 3RJC                            -98.596   -67.770   -30.826   -45.487
009-CDK2 / 3RK5                           -181.586  -146.140   -35.446   -24.255
009-CDK2 / 3RK7                           -120.938   -92.550   -28.388   -30.673
009-CDK2 / 3RK9                            -98.726   -72.320   -26.406   -36.513
009-CDK2 / 3RKB                           -101.123   -72.210   -28.913   -40.040
009-CDK2 / 3RMF                           -135.320  -103.770   -31.550   -30.404
009-CDK2 / 3RNI                           -124.246   -95.570   -28.676   -30.005
009-CDK2 / 3RPV                           -132.958  -105.500   -27.458   -26.027
009-CDK2 / 3RPY                           -107.917   -84.740   -23.177   -27.351
009-CDK2 / 3S00                            -93.794   -64.690   -29.104   -44.990
009-CDK2 / 3S0O                            -93.005   -64.210   -28.795   -44.845
009-CDK2 / 3S1H                           -132.914  -103.980   -28.934   -27.826
009-CDK2 / 3SQQ                           -129.327  -101.630   -27.697   -27.253
010-MMP12 / 3EHX                          -132.064  -128.764    -3.300    -2.563
010-MMP12 / 3EHY                          -115.157  -112.893    -2.264    -2.006
010-MMP12 / 3F15                          -135.759  -133.428    -2.331    -1.747
010-MMP12 / 3F16                          -131.519  -129.731    -1.788    -1.378
010-MMP12 / 3F17                          -134.853  -132.057    -2.796    -2.117
010-MMP12 / 3F18                          -133.733  -133.044    -0.690    -0.518
010-MMP12 / 3F19                          -120.847  -119.632    -1.215    -1.016
010-MMP12 / 3F1A                          -119.283  -118.100    -1.183    -1.002
010-MMP12 / 3LK8                          -126.121  -123.865    -2.256    -1.822
010-MMP12 / 3N2U                          -154.680  -154.459    -0.221    -0.143
010-MMP12 / 3N2V                          -134.896  -131.516    -3.380    -2.570
010-MMP12 / 3NX7                          -129.224  -126.899    -2.325    -1.832
010-MMP12 / 3RTS                          -128.498  -125.882    -2.616    -2.078
010-MMP12 / 3RTT                          -129.577  -126.266    -3.311    -2.622
010-MMP12 / 4GUY                          -137.555  -134.390    -3.165    -2.355
010-MMP12 / 5LAB                          -129.320  -126.075    -3.245    -2.574
010-MMP12 / 6RD0                           -79.103   -72.888    -6.215    -8.527
010-MMP12 / 6RLY                           -65.663   -60.709    -4.954    -8.160
==========================================================================================
RMSE               24.459   kcal/mol
MUE                18.421   kcal/mol
------------------------------------------------------------------------------------------
MSE                -8.074   kcal/mol
min               -36.896   kcal/mol
max                67.977   kcal/mol
range             104.873   kcal/mol
min abs             0.221   kcal/mol
max abs            67.977   kcal/mol
==========================================================================================
RMSE               41.270   %
MUE                24.580   %
MSE                -4.415   %
min               -90.215   %
max               150.588   %
range             240.804   %
min abs             0.143   %
max abs           150.588   %
------------------------------------------------------------------------------------------
RMSE/|avg|         20.514   %
MUE/|avg|          15.450   %
==========================================================================================
Statistics for groups:
001-CA2        (10) RMSE      8.222   MSE      -8.000   kcal/mol
002-HIV-PR     (22) RMSE     23.774   MSE     -23.579   kcal/mol
003-CK2        (16) RMSE     18.620   MSE     -17.907   kcal/mol
004-AR         (14) RMSE     15.575   MSE     -15.314   kcal/mol
005-Cath-D     (10) RMSE      3.610   MSE      -3.522   kcal/mol
006-BACE1      (16) RMSE     55.140   MSE      52.635   kcal/mol
007-JAK1       (12) RMSE      3.619   MSE      -3.199   kcal/mol
008-Trypsin    (15) RMSE      3.746   MSE      -2.668   kcal/mol
009-CDK2       (31) RMSE     29.378   MSE     -29.216   kcal/mol
010-MMP12      (18) RMSE      2.975   MSE      -2.625   kcal/mol
--------------------------------------------------------------------------------
001-CA2        RMSE/|avg|     3.90 %
002-HIV-PR     RMSE/|avg|     15.40 %
003-CK2        RMSE/|avg|     35.94 %
004-AR         RMSE/|avg|     12.27 %
005-Cath-D     RMSE/|avg|     2.65 %
006-BACE1      RMSE/|avg|     84.15 %
007-JAK1       RMSE/|avg|     3.73 %
008-Trypsin    RMSE/|avg|     1.92 %
009-CDK2       RMSE/|avg|     33.14 %
010-MMP12      RMSE/|avg|     2.44 %
==========================================================================================

