        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
MUE                19.966   kcal/mol
------------------------------------------------------------------------------------------
MSE                12.213   kcal/mol
min              -531.902   kcal/mol
max                28.622   kcal/mol
range             560.524   kcal/mol
min abs             5.116   kcal/mol
max abs           531.902   kcal/mol
==========================================================================================
RMSE               38.717   %
MUE                19.447   %
MSE                13.076   %
min              -430.279   %
max                42.117   %
range             472.396   %
min abs             2.684   %
max abs           430.279   %
------------------------------------------------------------------------------------------
RMSE/|avg|         38.172   %
MUE/|avg|          16.746   %
==========================================================================================
Statistics for groups:
001-CA2        (10) RMSE      7.936   MSE       7.821   kcal/mol
002-HIV-PR     (22) RMSE     24.339   MSE      24.253   kcal/mol
003-CK2        (16) RMSE     10.648   MSE       9.800   kcal/mol
004-AR         (14) RMSE    145.208   MSE     -32.855   kcal/mol
005-Cath-D     (10) RMSE     17.367   MSE      17.294   kcal/mol
006-BACE1      (16) RMSE     17.121   MSE      17.051   kcal/mol
007-JAK1       (12) RMSE     16.514   MSE      16.368   kcal/mol
008-Trypsin    (15) RMSE     14.486   MSE      14.061   kcal/mol
009-CDK2       (31) RMSE     18.167   MSE      17.845   kcal/mol
010-MMP12      (18) RMSE     16.105   MSE      16.005   kcal/mol
--------------------------------------------------------------------------------
001-CA2        RMSE/|avg|     3.76 %
002-HIV-PR     RMSE/|avg|     15.76 %
003-CK2        RMSE/|avg|     20.55 %
004-AR         RMSE/|avg|     114.43 %
005-Cath-D     RMSE/|avg|     12.76 %
006-BACE1      RMSE/|avg|     26.13 %
007-JAK1       RMSE/|avg|     17.00 %
008-Trypsin    RMSE/|avg|     7.42 %
009-CDK2       RMSE/|avg|     20.49 %
010-MMP12      RMSE/|avg|     13.23 %
==========================================================================================

