        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
009-CDK2 / 3RJC                            -49.145   -67.770    18.625    27.482
009-CDK2 / 3RK5                           -120.163  -146.140    25.977    17.775
009-CDK2 / 3RK7                            -70.300   -92.550    22.250    24.041
009-CDK2 / 3RK9                            -55.849   -72.320    16.471    22.775
009-CDK2 / 3RKB                            -56.002   -72.210    16.208    22.445
009-CDK2 / 3RMF                            -77.397  -103.770    26.373    25.414
009-CDK2 / 3RNI                            -72.974   -95.570    22.596    23.644
009-CDK2 / 3RPV                            -81.277  -105.500    24.223    22.961
009-CDK2 / 3RPY                            -65.357   -84.740    19.383    22.874
009-CDK2 / 3S00                            -49.858   -64.690    14.832    22.928
009-CDK2 / 3S0O                            -48.686   -64.210    15.524    24.177
009-CDK2 / 3S1H                            -79.172  -103.980    24.808    23.859
009-CDK2 / 3SQQ                            -77.530  -101.630    24.100    23.713
010-MMP12 / 3EHX                          -109.130  -128.764    19.634    15.248
010-MMP12 / 3EHY                           -98.247  -112.893    14.646    12.974
010-MMP12 / 3F15                          -112.986  -133.428    20.441    15.320
010-MMP12 / 3F16                          -112.535  -129.731    17.196    13.255
010-MMP12 / 3F17                          -113.172  -132.057    18.885    14.301
010-MMP12 / 3F18                          -116.152  -133.044    16.892    12.696
010-MMP12 / 3F19                          -104.851  -119.632    14.782    12.356
010-MMP12 / 3F1A                          -103.397  -118.100    14.703    12.450
010-MMP12 / 3LK8                          -106.809  -123.865    17.056    13.770
010-MMP12 / 3N2U                          -135.132  -154.459    19.327    12.513
010-MMP12 / 3N2V                          -111.613  -131.516    19.903    15.133
010-MMP12 / 3NX7                          -107.640  -126.899    19.259    15.177
010-MMP12 / 3RTS                          -110.113  -125.882    15.768    12.526
010-MMP12 / 3RTT                          -108.961  -126.266    17.304    13.705
010-MMP12 / 4GUY                          -118.973  -134.390    15.417    11.472
010-MMP12 / 5LAB                          -106.063  -126.075    20.012    15.873
010-MMP12 / 6RD0                           -57.953   -72.888    14.934    20.490
010-MMP12 / 6RLY                           -42.288   -60.709    18.420    30.342
==========================================================================================
RMSE               17.716   kcal/mol
MUE                17.078   kcal/mol
------------------------------------------------------------------------------------------
MSE                17.015   kcal/mol
min                -5.183   kcal/mol
max                26.504   kcal/mol
range              31.687   kcal/mol
min abs             5.183   kcal/mol
max abs            26.504   kcal/mol
==========================================================================================
RMSE               18.872   %
MUE                17.205   %
MSE                17.025   %
min               -14.800   %
max                40.544   %
range              55.344   %
min abs             3.745   %
max abs            40.544   %
------------------------------------------------------------------------------------------
RMSE/|avg|         14.859   %
MUE/|avg|          14.324   %
==========================================================================================
Statistics for groups:
001-CA2        (10) RMSE     10.579   MSE      10.480   kcal/mol
002-HIV-PR     (22) RMSE     23.213   MSE      23.133   kcal/mol
003-CK2        (16) RMSE     10.764   MSE       9.941   kcal/mol
004-AR         (14) RMSE     17.868   MSE      17.663   kcal/mol
005-Cath-D     (10) RMSE     15.120   MSE      15.029   kcal/mol
006-BACE1      (16) RMSE     15.626   MSE      15.494   kcal/mol
007-JAK1       (12) RMSE     18.669   MSE      18.507   kcal/mol
008-Trypsin    (15) RMSE     14.082   MSE      13.658   kcal/mol
009-CDK2       (31) RMSE     20.680   MSE      20.343   kcal/mol
010-MMP12      (18) RMSE     17.591   MSE      17.477   kcal/mol
--------------------------------------------------------------------------------
001-CA2        RMSE/|avg|     5.01 %
002-HIV-PR     RMSE/|avg|     15.03 %
003-CK2        RMSE/|avg|     20.77 %
004-AR         RMSE/|avg|     14.08 %
005-Cath-D     RMSE/|avg|     11.11 %
006-BACE1      RMSE/|avg|     23.85 %
007-JAK1       RMSE/|avg|     19.22 %
008-Trypsin    RMSE/|avg|     7.22 %
009-CDK2       RMSE/|avg|     23.33 %
010-MMP12      RMSE/|avg|     14.45 %
==========================================================================================

